,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
366,Kahului,US,20.89,-156.47,73.42,88,90,9.22,light rain
367,Sinnamary,GF,5.38,-52.95,81.39,74,57,5.08,broken clouds
368,Jiaocheng,CN,24.68,116.14,75.31,96,57,2.04,broken clouds
369,Asyut,EG,27.18,31.18,111.38,7,0,5.64,clear sky
370,Den Helder,NL,52.96,4.76,66.97,73,75,14.0,broken clouds
371,Tsagan Aman,RU,47.56,46.72,81.3,38,23,6.06,few clouds
372,Port-Gentil,GA,-0.72,8.78,82.36,74,90,6.91,overcast clouds
373,Grand Gaube,MU,-20.01,57.66,75.6,68,93,8.99,overcast clouds
374,Ponta Do Sol,PT,32.67,-17.1,78.01,75,20,6.02,few clouds
375,Shitanjing,CN,39.23,106.34,72.07,61,100,10.13,overcast clouds
376,Villa Bruzual,VE,9.33,-69.12,86.88,56,38,5.48,scattered clouds
377,Gimli,CA,50.63,-96.99,72.43,59,50,14.97,scattered clouds
378,Wapi Pathum,TH,15.85,103.38,74.52,88,100,12.97,moderate rain
379,Sao Joao Da Barra,BR,-21.64,-41.05,75.29,78,100,10.11,overcast clouds
380,Tulun,RU,54.56,100.58,47.3,89,100,2.62,overcast clouds
381,Bambanglipuro,ID,-7.95,110.28,58.6,88,9,5.79,clear sky
382,Kabelvag,NO,68.21,14.48,56.53,79,46,9.73,scattered clouds
383,Sisimiut,GL,66.94,-53.67,40.35,71,22,6.46,few clouds
384,Mandalgovi,MN,45.76,106.27,67.44,48,100,27.4,light rain
385,High Level,CA,58.52,-117.14,55.51,82,20,5.75,few clouds
386,Gladstone,AU,-23.85,151.25,51.78,76,0,5.75,clear sky
387,Arkhipo-Osipovka,RU,44.37,38.52,68.72,79,67,7.36,broken clouds
388,Riachao Das Neves,BR,-11.75,-44.91,92.71,25,96,3.94,overcast clouds
389,Cockburn Town,TC,21.46,-71.14,80.94,77,55,15.46,broken clouds
390,Ust-Kuyga,RU,70.02,135.6,47.77,63,9,2.84,clear sky
391,Fern Creek,US,38.16,-85.59,89.46,57,1,1.01,clear sky
392,Castlegar,CA,49.3,-117.67,60.98,90,81,3.94,broken clouds
393,Kloulklubed,PW,7.04,134.26,77.5,76,78,8.1,broken clouds
394,Alberdi,AR,-32.89,-60.69,72.68,68,0,4.0,clear sky
395,Abha,SA,18.22,42.51,84.45,7,20,9.22,few clouds
396,Anito,PH,12.45,125.29,77.77,91,100,5.35,overcast clouds
397,Emba,KZ,48.83,58.14,68.18,66,100,14.99,overcast clouds
398,Ust-Ilimsk,RU,58.0,102.66,47.61,49,0,2.46,clear sky
399,Kurumkan,RU,54.3,110.3,55.11,48,33,2.89,scattered clouds
400,Vilhena,BR,-12.74,-60.15,70.02,78,75,10.36,broken clouds
401,Caravelas,BR,-17.71,-39.25,78.26,72,100,9.98,overcast clouds
402,Altamira,BR,-3.2,-52.21,86.09,70,75,2.3,broken clouds
403,Boda,CF,4.32,17.47,76.82,81,80,3.71,light rain
404,Lufilufi,WS,-13.87,-171.6,76.78,78,49,20.74,light rain
405,Manta,EC,-0.95,-80.73,74.98,83,90,3.44,overcast clouds
406,Nouadhibou,MR,20.93,-17.03,84.18,51,100,9.22,overcast clouds
407,Mwinilunga,ZM,-11.74,24.43,64.56,38,5,5.46,clear sky
408,Pangody,RU,65.85,74.49,53.78,76,94,8.59,overcast clouds
409,Cidreira,BR,-30.18,-50.21,62.1,51,6,13.15,clear sky
410,Sabinov,SK,49.1,21.1,75.67,65,100,3.29,overcast clouds
411,Palmer,US,42.16,-72.33,67.75,69,75,4.0,broken clouds
412,Luwuk,ID,-0.95,122.79,76.98,91,66,1.63,broken clouds
413,Santa Cruz,BO,-17.8,-63.17,69.85,56,0,18.41,clear sky
414,Manokwari,ID,-0.87,134.08,80.26,72,100,5.95,overcast clouds
415,Miracema Do Tocantins,BR,-9.56,-48.4,93.74,31,92,3.04,overcast clouds
416,Taybad,IR,34.74,60.78,92.01,14,0,18.12,clear sky
417,Mulege,MX,26.88,-111.98,91.87,22,30,5.26,scattered clouds
418,Port Lincoln,AU,-34.73,135.87,55.74,57,100,7.29,overcast clouds
419,Bonavista,CA,48.65,-53.11,64.4,73,10,11.21,clear sky
420,Avera,US,33.19,-82.53,85.95,57,46,7.45,scattered clouds
421,Sakaiminato,JP,35.55,133.23,69.78,100,75,3.44,broken clouds
422,Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,94.32,27,57,5.55,broken clouds
423,Serra Talhada,BR,-7.99,-38.3,89.76,29,12,7.9,few clouds
424,Monte Alegre,BR,-2.01,-54.07,82.15,70,88,2.75,overcast clouds
425,Shumskiy,RU,54.83,99.13,48.33,71,100,1.5,overcast clouds
426,Cherskiy,RU,68.75,161.3,40.8,69,0,1.32,clear sky
427,Tuatapere,NZ,-46.13,167.68,52.47,95,100,3.38,overcast clouds
428,Stepnyak,KZ,52.83,70.78,57.94,46,79,7.0,broken clouds
429,Broken Hill,AU,-31.95,141.43,46.11,87,40,8.05,scattered clouds
430,Roebourne,AU,-20.78,117.13,75.25,47,95,7.78,overcast clouds
431,Calabozo,VE,8.92,-67.43,88.95,48,20,9.17,few clouds
432,Bhindar,IN,24.5,74.18,95.56,33,25,15.17,scattered clouds
433,Ossora,RU,59.24,163.07,44.29,84,86,7.07,overcast clouds
434,Juba,SS,4.85,31.58,81.5,62,100,4.41,overcast clouds
435,Isangel,VU,-19.55,169.27,72.68,78,85,9.33,overcast clouds
436,Mikhaylovka,RU,50.06,43.24,69.55,74,90,7.34,overcast clouds
437,Terrace,CA,54.52,-128.6,56.43,87,75,4.61,broken clouds
438,Kieta,PG,-6.22,155.63,77.32,76,9,7.29,clear sky
439,Keti Bandar,PK,24.14,67.45,85.42,77,22,19.46,few clouds
440,Kargasok,RU,59.06,80.86,54.07,93,100,8.03,overcast clouds
441,Flinders,AU,-34.58,150.86,56.17,65,1,7.0,clear sky
442,Ostrovnoy,RU,68.05,39.51,71.17,36,2,18.1,clear sky
443,Codrington,AU,-38.27,141.97,53.08,83,100,4.52,overcast clouds
444,Kutum,SD,14.2,24.67,97.93,10,98,14.52,overcast clouds
445,Sciacca,IT,37.51,13.09,82.04,39,18,15.48,few clouds
446,Dunedin,NZ,-45.87,170.5,48.79,84,98,14.0,overcast clouds
447,Flin Flon,CA,54.77,-101.86,55.24,100,90,10.36,mist
448,Mount Isa,AU,-20.73,139.5,49.77,34,52,1.14,broken clouds
449,Karpogory,RU,64.0,44.45,76.62,28,61,8.21,broken clouds
450,Gambela,ET,8.25,34.58,78.73,71,83,5.61,broken clouds
451,San Francisco,US,37.77,-122.42,70.93,85,90,1.01,overcast clouds
452,Shenjiamen,CN,29.96,122.3,73.38,99,100,8.43,light rain
453,Lugovoy,KZ,42.95,72.76,69.08,47,96,3.31,overcast clouds
454,Igarka,RU,67.47,86.58,41.56,86,99,7.7,overcast clouds
455,Beira,MZ,-19.84,34.84,75.29,60,20,1.01,few clouds
456,Livada,RO,47.87,23.13,80.47,63,28,3.33,scattered clouds
457,Shetpe,KZ,44.17,52.12,84.42,34,12,11.97,few clouds
458,Ketchikan,US,55.34,-131.65,53.58,80,99,3.78,overcast clouds
459,Tual,ID,-5.67,132.75,81.59,81,47,14.07,scattered clouds
460,Kenora,CA,49.82,-94.43,67.98,72,75,17.27,broken clouds
461,Marystown,CA,47.17,-55.15,55.85,100,90,5.99,overcast clouds
462,Mersing,MY,2.43,103.84,76.91,94,100,4.61,overcast clouds
463,Manbij,SY,36.53,37.95,83.17,39,0,22.08,clear sky
464,Karasburg,NA,-28.02,18.75,71.64,22,100,8.16,overcast clouds
465,Kichera,RU,55.94,110.1,52.66,57,100,6.58,overcast clouds
466,Senno,RU,59.53,33.92,59.27,92,95,7.56,moderate rain
467,Opotiki,NZ,-38.08,177.28,57.38,92,100,2.46,overcast clouds
468,Clinton,US,42.59,-82.92,82.94,71,75,6.91,broken clouds
469,Marrakesh,MA,31.63,-8.01,91.47,24,0,6.91,clear sky
470,Lalmohan,BD,22.34,90.74,82.8,86,100,18.61,overcast clouds
471,Xai-Xai,MZ,-25.05,33.64,67.01,80,4,4.63,clear sky
472,Mehamn,NO,71.04,27.85,49.69,91,68,16.73,broken clouds
473,Raga,SS,8.46,25.68,84.52,46,95,3.89,overcast clouds
474,Vagay,RU,57.94,69.02,62.94,64,82,5.32,broken clouds
475,Leningradskiy,RU,69.38,178.42,33.39,93,95,3.49,overcast clouds
476,Mwene-Ditu,CD,-7.0,23.45,77.2,40,5,3.02,clear sky
477,Northam,GB,51.03,-4.22,73.02,76,35,9.48,scattered clouds
478,Khasan,RU,42.43,130.64,60.8,86,79,3.71,broken clouds
479,Lakes Entrance,AU,-37.88,147.98,53.19,83,100,13.15,overcast clouds
480,Cap Malheureux,MU,-19.98,57.61,75.69,68,91,8.99,overcast clouds
481,Gramsh,AL,40.87,20.18,75.74,69,43,2.64,scattered clouds
482,Ballina,AU,-28.87,153.57,53.78,86,1,3.44,clear sky
483,Gornopravdinsk,RU,60.05,69.9,64.99,60,100,6.13,overcast clouds
484,La Rioja,ES,42.25,-2.5,82.18,46,56,6.13,broken clouds
485,Bahia De Caraquez,EC,-0.6,-80.42,75.38,77,99,4.41,overcast clouds
486,Cape Girardeau,US,37.38,-89.72,90.57,62,38,1.3,scattered clouds
487,Jalu,LY,29.03,21.55,89.37,24,0,15.41,clear sky
488,Kriel,ZA,-26.27,29.23,57.0,37,2,6.17,clear sky
489,Kez,RU,57.9,53.72,56.43,90,100,6.62,overcast clouds
490,Mezen,RU,65.85,44.24,77.09,28,93,7.38,overcast clouds
491,Pahrump,US,36.21,-115.98,89.69,7,0,1.99,clear sky
492,Marzuq,YE,14.4,46.47,90.37,10,38,4.36,scattered clouds
493,Baruun-Urt,MN,46.68,113.28,65.25,51,26,5.73,scattered clouds
494,Sao Joao De Pirabas,BR,-0.77,-47.18,73.38,97,100,4.79,overcast clouds
495,Basco,PH,20.45,121.97,84.31,80,98,10.49,overcast clouds
496,Dong Hoi,VN,17.48,106.6,77.2,93,100,20.07,moderate rain
497,Kurilsk,RU,45.23,147.88,52.02,91,34,10.54,scattered clouds
498,Oranjemund,NA,-28.55,16.43,63.72,60,100,8.43,overcast clouds
499,Roald,NO,62.58,6.13,54.0,87,75,18.41,light rain
500,Zapolyarnyy,RU,69.42,30.81,76.28,32,86,20.09,overcast clouds
501,Zeya,RU,53.75,127.27,56.64,77,65,2.51,broken clouds
502,Brokopondo,SR,4.75,-55.17,82.17,72,73,2.59,broken clouds
503,Pascagoula,US,30.37,-88.56,88.56,73,75,0.0,broken clouds
504,Lorengau,PG,-2.02,147.27,82.18,77,30,9.71,scattered clouds
505,Karatau,KZ,43.17,70.47,74.23,24,90,12.48,overcast clouds
506,Althofen,AT,46.88,14.47,75.45,70,97,1.3,overcast clouds
507,Vanavara,RU,60.34,102.28,47.19,61,16,6.02,few clouds
508,Richards Bay,ZA,-28.78,32.04,67.15,79,0,10.36,clear sky
509,Lamu,KE,-2.27,40.9,80.82,78,89,16.17,overcast clouds
510,Kilindoni,TZ,-7.91,39.67,79.02,67,20,15.17,few clouds
511,Acapulco,MX,16.86,-99.89,76.82,94,90,5.75,overcast clouds
512,Wilkie,CA,52.42,-108.7,61.18,50,24,5.37,few clouds
513,Longyan,CN,25.11,117.02,73.51,98,77,2.35,broken clouds
514,Waingapu,ID,-9.66,120.26,75.25,86,36,7.09,scattered clouds
515,Jishui,CN,33.73,115.4,81.09,66,99,5.7,light rain
516,Randfontein,ZA,-26.18,27.7,65.71,31,5,6.76,clear sky
517,Felanitx,ES,39.47,3.15,86.13,47,4,12.66,clear sky
518,Ancud,CL,-41.87,-73.82,49.53,94,100,6.51,moderate rain
519,Faranah,GN,10.04,-10.74,96.67,31,23,8.63,few clouds
520,Camacha,PT,33.08,-16.33,74.53,60,40,17.27,scattered clouds
521,Alugan,PH,12.22,125.48,80.2,85,100,8.63,overcast clouds
522,Chumikan,RU,54.72,135.31,36.99,93,19,1.59,few clouds
523,Aborlan,PH,9.44,118.55,78.87,84,100,5.41,moderate rain
524,Twante,MM,16.72,95.93,75.33,90,97,6.42,moderate rain
525,Medea,DZ,36.26,2.75,70.25,26,6,8.97,clear sky
526,Sibolga,ID,1.74,98.78,78.33,88,100,2.42,moderate rain
527,Thivai,GR,38.33,23.32,74.91,68,97,4.43,overcast clouds
528,Austin,US,30.27,-97.74,89.87,71,64,5.99,broken clouds
529,Maceio,BR,-9.67,-35.74,81.84,65,75,5.75,broken clouds
530,Bay Roberts,CA,47.6,-53.26,60.55,63,16,15.01,few clouds
531,Sarishabari,BD,24.73,89.83,79.72,88,100,11.61,moderate rain
532,Berlevag,NO,70.86,29.09,52.86,82,71,15.64,light rain
533,Walvis Bay,NA,-22.96,14.51,74.35,43,48,2.3,scattered clouds
534,Oistins,BB,13.07,-59.53,87.89,55,20,18.41,few clouds
535,Khorramshahr,IR,30.44,48.17,118.35,11,0,21.85,clear sky
536,Kondinskoye,RU,59.65,67.41,66.25,53,92,8.68,overcast clouds
537,Wamba,NG,8.93,8.6,84.7,61,82,4.72,light rain
538,Chilpancingo,MX,17.55,-99.5,72.95,73,91,1.95,overcast clouds
539,Constitucion,CL,-35.33,-72.42,62.73,72,3,5.08,clear sky
540,Ginir,ET,7.13,40.7,61.09,76,81,10.0,broken clouds
541,Auburn,US,47.31,-122.23,64.96,82,26,1.01,scattered clouds
542,Bereda,ES,43.27,-7.54,76.87,57,3,9.71,clear sky
543,Grindavik,IS,63.84,-22.43,53.56,53,75,18.41,broken clouds
544,Jacqueville,CI,5.21,-4.41,85.91,78,84,4.61,light rain
545,Zhanaozen,KZ,43.3,52.8,89.28,25,21,9.28,few clouds
546,Wenling,CN,28.37,121.36,79.88,96,100,3.69,moderate rain
547,Klyuchi,RU,52.27,79.17,54.61,52,57,7.72,broken clouds
548,Riberalta,BO,-10.98,-66.1,79.59,53,100,5.21,light rain
549,Atocha,BO,-20.93,-66.23,45.7,10,0,3.04,clear sky
550,Daru,PG,-9.08,143.21,78.26,92,20,11.39,few clouds
551,Yarmouth,US,41.71,-70.23,64.18,91,90,4.0,mist
552,Panjakent,TJ,39.5,67.61,78.6,27,35,4.92,scattered clouds
553,Verkhnevilyuysk,RU,63.45,120.32,45.79,56,14,5.68,few clouds
554,Vetluzhskiy,RU,58.39,45.47,66.29,70,97,5.39,overcast clouds
555,Jaque,PA,7.52,-78.17,83.88,74,62,5.39,light rain
556,Arroyo Grande,US,35.12,-120.59,82.83,36,1,1.99,clear sky
557,Naryan-Mar,RU,67.67,53.09,76.78,30,97,6.2,overcast clouds
558,Razole,IN,16.48,81.83,80.89,82,100,4.81,overcast clouds
559,Cochrane,CA,51.18,-114.47,60.21,59,1,3.44,clear sky
560,Moose Factory,CA,51.26,-80.61,53.6,62,1,9.22,clear sky
561,Erzurum,TR,40.0,41.5,58.68,61,70,3.0,broken clouds
562,Hualmay,PE,-11.1,-77.61,69.19,74,49,8.86,scattered clouds
563,Kayerkan,RU,69.35,87.76,33.1,99,100,3.85,overcast clouds
564,Santander,ES,43.46,-3.8,72.32,84,20,5.99,few clouds
565,Ocampo,MX,21.65,-101.5,64.9,47,15,15.88,few clouds
566,Coihaique,CL,-45.58,-72.07,44.55,65,75,3.44,broken clouds
567,Kawalu,ID,-7.38,108.21,72.63,98,50,1.39,scattered clouds
568,Fuxin,CN,42.02,121.66,72.37,58,100,11.5,light rain
569,Tilichiki,RU,60.47,166.1,44.47,86,100,4.59,overcast clouds
570,Kumo,NG,10.04,11.21,91.83,38,92,9.31,overcast clouds
571,Anapskaya,RU,44.89,37.38,70.03,73,75,11.18,broken clouds
572,Melfort,CA,52.87,-104.62,63.36,59,4,12.66,clear sky
573,Bowen,AU,-20.02,148.23,64.62,73,66,5.73,broken clouds
574,Graaff-Reinet,ZA,-32.25,24.53,67.93,24,100,8.72,overcast clouds
575,Saint-Joseph,RE,-21.37,55.62,71.96,74,73,13.33,broken clouds
576,Rivera,UY,-30.91,-55.55,64.35,60,1,8.34,clear sky
577,Paita,PE,-5.09,-81.11,73.96,71,9,10.65,clear sky
578,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,46.99,100,75,8.95,light rain
579,Nova Olimpia,BR,-14.8,-57.29,84.02,46,83,4.68,broken clouds
580,Victoria Point,AU,-27.58,153.3,53.91,88,0,1.01,clear sky
581,Russas,BR,-4.94,-37.98,94.19,32,53,7.05,broken clouds
582,Nadym,RU,65.53,72.52,59.58,68,70,6.76,broken clouds
583,Imbituba,BR,-28.24,-48.67,66.09,59,1,3.96,clear sky
584,Taman,RU,45.21,36.72,70.12,76,96,12.15,overcast clouds
585,Harrismith,ZA,-28.27,29.13,52.68,35,8,0.27,clear sky
586,Minab,IR,27.15,57.08,94.5,45,0,5.73,clear sky
587,Kommunar,RU,59.62,30.39,71.13,62,65,7.31,broken clouds
588,Kozhva,RU,65.11,57.05,76.35,30,88,4.88,overcast clouds
589,Lesnoy,RU,57.62,63.08,61.9,62,7,5.88,clear sky
590,Haapiti,PF,-17.57,-149.87,74.93,71,72,10.25,broken clouds
591,Kemijarvi,FI,66.71,27.43,68.52,47,95,18.34,overcast clouds
592,Buala,SB,-8.14,159.59,78.35,80,12,2.57,few clouds
593,Yalova,TR,40.66,29.28,79.54,61,24,9.86,few clouds
594,Sakakah,SA,29.97,40.21,101.77,11,0,12.73,clear sky
595,Vawkavysk,BY,53.16,24.45,71.29,80,100,11.72,overcast clouds
596,Musoma,TZ,-1.5,33.8,73.31,68,57,3.42,broken clouds
597,Atlantic City,US,39.36,-74.42,76.3,76,75,16.11,broken clouds
598,Barra Do Garcas,BR,-15.89,-52.26,82.98,51,0,4.61,clear sky
599,Takoradi,GH,4.88,-1.76,84.27,70,96,6.31,light rain
600,Pokhara,NP,28.23,83.98,71.78,88,51,2.86,broken clouds
601,Namibe,AO,-15.2,12.15,76.82,58,5,8.66,clear sky
602,Zhangye,CN,38.93,100.45,65.55,55,64,7.02,broken clouds
603,Sesimbra,PT,38.44,-9.1,86.95,71,40,11.74,scattered clouds
604,San Quintin,MX,30.48,-115.95,67.05,69,74,12.93,broken clouds
605,Develi,TR,38.39,35.49,65.55,59,61,4.47,broken clouds
606,Aksarka,RU,66.56,67.8,67.8,51,98,4.74,overcast clouds
607,Almeirim,BR,-1.52,-52.58,82.44,70,100,3.83,overcast clouds
608,Truckee,US,39.33,-120.18,68.22,55,4,1.01,clear sky
609,Nishihara,JP,26.18,127.76,81.68,89,40,4.61,scattered clouds
610,Nantucket,US,41.28,-70.1,62.71,88,90,9.22,overcast clouds
611,Ayan,RU,56.45,138.17,44.28,72,94,3.06,overcast clouds
612,Sao Felix Do Xingu,BR,-6.64,-51.99,91.04,38,89,2.19,overcast clouds
613,Taguatinga,BR,-12.39,-46.57,94.35,25,96,3.09,overcast clouds
614,La Asuncion,VE,11.03,-63.86,82.13,83,71,16.11,broken clouds
615,Edd,ER,13.93,41.69,90.01,63,55,5.86,broken clouds
616,Kehra,EE,59.34,25.32,62.4,83,100,7.43,overcast clouds
617,Portland,US,45.52,-122.68,64.56,85,75,1.01,broken clouds
618,Sur,OM,22.57,59.53,91.15,60,0,5.82,clear sky
619,Dubai,AE,25.26,55.3,94.93,49,0,10.36,clear sky
620,Belmonte,BR,-15.86,-38.88,84.7,64,100,5.28,overcast clouds
621,Prince Rupert,CA,54.32,-130.32,53.29,82,20,5.75,few clouds
622,Lima,PE,-12.04,-77.03,67.89,81,90,9.22,overcast clouds
623,Yuci,CN,37.68,112.73,73.15,64,40,6.71,scattered clouds
624,Zlotow,PL,53.36,17.04,62.71,69,100,14.41,overcast clouds
625,Berdigestyakh,RU,62.1,126.7,43.09,98,99,4.63,overcast clouds
626,Boa Vista,BR,2.82,-60.67,87.78,55,75,11.5,broken clouds
627,Tulagi,SB,-9.1,160.15,81.59,79,15,14.18,moderate rain
628,Blagoyevo,RU,63.37,47.92,74.89,28,59,8.23,broken clouds
629,Bakchar,RU,57.02,82.07,51.69,77,70,3.74,broken clouds
630,Turukhansk,RU,65.82,87.98,43.27,92,100,6.17,overcast clouds
631,Tinsukia,IN,27.5,95.37,79.3,84,61,3.49,broken clouds
632,Defiance,US,41.33,-84.45,87.12,59,13,1.92,few clouds
633,Uray,RU,60.12,64.78,66.87,50,24,6.8,few clouds
634,Ahipara,NZ,-35.17,173.17,58.91,86,100,9.89,overcast clouds
635,Sao Geraldo Do Araguaia,BR,-6.4,-48.55,88.99,47,80,3.11,broken clouds
636,Ostersund,SE,63.18,14.64,55.85,62,20,12.66,few clouds
637,Dawson Creek,CA,55.77,-120.24,58.64,41,1,11.5,clear sky
638,Chicama,PE,-7.84,-79.15,64.94,66,43,7.99,scattered clouds
639,Imeni Morozova,RU,59.98,31.04,71.64,81,78,6.22,broken clouds
640,Arys,KZ,42.43,68.8,86.22,21,76,19.28,broken clouds
641,Wasilla,US,61.58,-149.44,54.77,81,1,4.61,clear sky
642,Pastavy,BY,55.12,26.83,64.51,86,69,6.8,broken clouds
643,Mangrol,IN,21.12,70.12,85.41,78,12,15.93,few clouds
644,Wagar,SD,16.15,36.2,106.95,11,99,3.27,overcast clouds
645,Tiarei,PF,-17.53,-149.33,75.22,73,32,9.66,scattered clouds
646,Pindwara,IN,24.8,73.07,93.65,41,0,12.77,clear sky
647,Sechura,PE,-5.56,-80.82,74.23,64,34,7.9,scattered clouds
648,Tibagi,BR,-24.51,-50.41,66.2,38,0,3.98,clear sky
649,Bonthe,SL,7.53,-12.51,83.66,67,96,7.54,overcast clouds
650,Marsabit,KE,2.33,37.99,71.62,46,99,17.74,overcast clouds
651,Seybaplaya,MX,19.65,-90.67,83.64,67,97,6.17,overcast clouds
652,Nuuk,GL,64.18,-51.72,43.88,70,15,8.01,few clouds
653,Pelym,RU,61.01,62.0,70.21,37,20,7.05,few clouds
654,Lawrence,US,38.97,-95.24,83.71,63,1,10.36,clear sky
655,Phan Thiet,VN,10.93,108.1,78.76,74,100,7.38,overcast clouds
656,Bafia,CM,4.75,11.23,78.46,89,71,4.12,light rain
657,Bokhan,RU,53.15,103.77,50.79,97,100,3.49,light rain
658,Bradley,US,35.15,-84.87,84.9,81,1,4.61,clear sky
659,Vila,PT,42.03,-8.16,79.34,48,8,3.78,clear sky
660,Santiago Del Estero,AR,-27.8,-64.26,73.51,37,0,16.31,clear sky
661,Chipinge,ZW,-20.19,32.62,55.04,57,0,1.81,clear sky
662,Waraseoni,IN,21.75,80.03,79.12,77,28,7.27,scattered clouds
663,Papara,BR,-3.98,-38.73,87.73,48,26,7.34,scattered clouds
664,Kailua,US,21.4,-157.74,75.15,64,92,16.35,light rain
665,Oxford,GB,51.75,-1.26,77.49,49,20,3.44,few clouds
666,Benguela,AO,-12.58,13.41,79.27,68,14,4.05,few clouds
667,Zanjan,IR,36.67,48.48,89.29,9,0,9.22,clear sky
668,Chyhyryn,UA,49.08,32.66,71.42,69,60,4.65,broken clouds
669,Bullhead City,US,35.15,-114.57,95.32,7,1,0.0,clear sky
670,Srednekolymsk,RU,67.45,153.68,51.51,48,7,6.13,clear sky
671,Prokhorovka,RU,51.04,36.73,63.97,89,99,6.76,light rain
672,Izmalkovo,RU,52.69,37.96,66.13,84,70,5.03,light rain
673,Inhambane,MZ,-23.86,35.38,73.38,73,20,0.0,few clouds
674,Dalbandin,PK,28.89,64.41,100.56,3,0,10.4,clear sky
675,Eureka,US,40.8,-124.16,68.74,94,84,1.99,broken clouds
676,Manavalakurichi,IN,8.13,77.3,82.49,81,100,16.35,overcast clouds
677,Artyom,AZ,40.47,50.33,73.54,80,0,14.09,clear sky
678,Tiznit,MA,29.58,-9.5,78.24,32,2,10.07,clear sky
679,Paducah,US,37.08,-88.6,89.56,73,45,2.93,scattered clouds
680,Aguimes,ES,27.91,-15.45,76.86,64,20,32.21,few clouds
681,Kuala Terengganu,MY,5.33,103.14,84.15,84,20,3.44,light rain
682,Hami,CN,42.8,93.45,76.68,33,100,4.74,overcast clouds
683,Pankrushikha,RU,53.83,80.34,52.77,66,71,7.36,broken clouds
684,Antropovo,RU,58.4,43.01,65.89,64,97,7.14,overcast clouds
685,Kalmunai,LK,7.42,81.82,83.59,70,76,1.59,broken clouds
686,Yar-Sale,RU,66.83,70.83,61.47,64,80,8.12,broken clouds
687,Nouakchott,MR,18.09,-15.98,82.33,73,88,12.21,overcast clouds
688,Namikupa,TZ,-10.83,39.6,71.31,68,65,5.28,broken clouds
689,Batsfjord,NO,70.63,29.72,66.0,49,8,13.49,clear sky
690,Bandarbeyla,SO,9.49,50.81,79.74,76,81,31.45,broken clouds
